,head,relation,tail
977,8610,start_time,0
978,8611,start_time,
979,8612,start_time,0
980,8613,start_time,0
981,8614,start_time,0
982,8615,start_time,0
983,8616,start_time,0
984,8617,start_time,0
985,8618,start_time,0
986,8619,start_time,0
987,8620,start_time,0
988,8621,start_time,0
989,8622,start_time,0
990,8623,start_time,0
991,8624,start_time,0
992,8625,start_time,0
993,8626,start_time,0
994,8627,start_time,0
995,8628,start_time,0
996,8629,start_time,0
997,8630,start_time,0
998,8631,start_time,0
999,8632,start_time,0
1000,7633,end_date,20120828
1001,7634,end_date,20120828
1002,7635,end_date,20120828
1003,7636,end_date,20120828
1004,7637,end_date,20120828
1005,7638,end_date,20120828
1006,7639,end_date,20120828
1007,7640,end_date,20120828
1008,7641,end_date,20120828
1009,7642,end_date,20120828
1010,7643,end_date,20120828
1011,7644,end_date,20120828
1012,7645,end_date,20120828
1013,7646,end_date,20120828
1014,7647,end_date,20120828
1015,7648,end_date,20120828
1016,7649,end_date,20120828
1017,7650,end_date,20120828
1018,7651,end_date,20120828
1019,7652,end_date,20120828
1020,7653,end_date,20120828
1021,7654,end_date,20120828
1022,7655,end_date,20120828
1023,7656,end_date,20120828
1024,7657,end_date,20120828
1025,7658,end_date,20120828
1026,7659,end_date,20120828
1027,7660,end_date,20120828
1028,7661,end_date,20120828
1029,7662,end_date,20120828
1030,7663,end_date,20120828
1031,7664,end_date,20120828
1032,7665,end_date,20120828
1033,7666,end_date,20120828
1034,7667,end_date,20120828
1035,7668,end_date,20120828
1036,7669,end_date,20120828
1037,7670,end_date,20120917
1038,7671,end_date,20120917
1039,7672,end_date,20120917
1040,7673,end_date,20120917
1041,7674,end_date,20120828
1042,7675,end_date,20120917
1043,7676,end_date,20120917
1044,7677,end_date,20080726
1045,7678,end_date,20080726
1046,7679,end_date,20080726
1047,7680,end_date,20060712
1048,7681,end_date,20060712
1049,7682,end_date,20060711
1050,7683,end_date,20060711
1051,7684,end_date,20070917
1052,7685,end_date,20070917
1053,7686,end_date,20070917
1054,7687,end_date,20080815
1055,7688,end_date,20080815
1056,7689,end_date,20080815
1057,7690,end_date,20080815
1058,7691,end_date,20080815
1059,7692,end_date,20080815
1060,7693,end_date,20080815
1061,7694,end_date,20080815
1062,7695,end_date,20080815
1063,7696,end_date,20080815
1064,7697,end_date,20080815
1065,7698,end_date,20080815
1066,7699,end_date,20080815
1067,7700,end_date,20080815
1068,7701,end_date,20060713
1069,7702,end_date,20060727
1070,7703,end_date,20060717
1071,7704,end_date,20060710
1072,7705,end_date,20070918
1073,7706,end_date,20070918
1074,7707,end_date,20070913
1075,7708,end_date,20070913
1076,7709,end_date,20070913
1077,7710,end_date,20070913
1078,7711,end_date,20070913
1079,7712,end_date,20070331
1080,7713,end_date,20070929
1081,7714,end_date,20070906
1082,7715,end_date,20070906
1083,7716,end_date,20070829
1084,7717,end_date,20070829
1085,7718,end_date,20070829
1086,7719,end_date,20070829
1087,7720,end_date,20070918
1088,7721,end_date,20070918
1089,7722,end_date,20050703
1090,7723,end_date,20060709
1091,7724,end_date,20060709
1092,7725,end_date,20060709
1093,7726,end_date,20060709
1094,7727,end_date,20050703
1095,7728,end_date,20070602
1096,7729,end_date,20070331
1097,7730,end_date,20050803
1098,7731,end_date,20070829
1099,7732,end_date,20070829
1100,7733,end_date,20070829
1101,7734,end_date,20080723
1102,7735,end_date,20080723
1103,7736,end_date,20080723
1104,7737,end_date,20080723
1105,7738,end_date,20080723
1106,7739,end_date,20080723
1107,7740,end_date,20080723
1108,7741,end_date,20080723
1109,7742,end_date,20080723
1110,7743,end_date,20080723
1111,7744,end_date,20080723
1112,7745,end_date,20080723
1113,7746,end_date,20080723
1114,7747,end_date,20070805
1115,7748,end_date,20070805
1116,7749,end_date,20070805
1117,7750,end_date,20070805
1118,7751,end_date,20070805
1119,7752,end_date,20080816
1120,7753,end_date,20060716
1121,7754,end_date,20060717
1122,7755,end_date,20060717
1123,7756,end_date,20060717
1124,7757,end_date,20060717
1125,7758,end_date,20060717
1126,7759,end_date,20060729
1127,7760,end_date,20060729
1128,7761,end_date,20060729
1129,7762,end_date,20070806
1130,7763,end_date,20060729
1131,7764,end_date,20060729
1132,7765,end_date,20060729
1133,7766,end_date,20060729
1134,7767,end_date,20060729
1135,7768,end_date,20060729
1136,7769,end_date,20060729
1137,7770,end_date,20060729
1138,7771,end_date,20060729
1139,7772,end_date,20060729
1140,7773,end_date,20060729
1141,7774,end_date,20060729
1142,7775,end_date,20060729
1143,7776,end_date,20060729
1144,7777,end_date,20060729
1145,7778,end_date,20060729
1146,7779,end_date,20060729
1147,7780,end_date,20060729
1148,7781,end_date,20060729
1149,7782,end_date,20060729
1150,7783,end_date,20060729
1151,7784,end_date,20060729
1152,7785,end_date,20060729
1153,7786,end_date,20060729
1154,7787,end_date,20060729
1155,7788,end_date,20080726
1156,7789,end_date,20060710
1157,7790,end_date,20060710
1158,7791,end_date,20060710
1159,7792,end_date,20060710
1160,7793,end_date,20060710
1161,7794,end_date,20060710
1162,7795,end_date,20060710
1163,7796,end_date,20060710
1164,7797,end_date,20060710
1165,7798,end_date,20060710
1166,7799,end_date,20060710
1167,7800,end_date,20060710
1168,7801,end_date,20060710
1169,7802,end_date,20060710
1170,7803,end_date,20060710
1171,7804,end_date,20070916
1172,7805,end_date,20070916
1173,7806,end_date,20070916
1174,7807,end_date,20070916
1175,7808,end_date,20070916
1176,7809,end_date,20070916
1177,7810,end_date,20070916
1178,7811,end_date,20070916
1179,7812,end_date,20070916
1180,7813,end_date,20070916
1181,7814,end_date,20070916
1182,7815,end_date,20070916
1183,7816,end_date,20070916
1184,7817,end_date,20070916
1185,7818,end_date,20070916
1186,7819,end_date,20070916
1187,7820,end_date,20070916
1188,7821,end_date,20070916
1189,7822,end_date,20070916
1190,7823,end_date,20070916
1191,7824,end_date,20070916
1192,7825,end_date,20070916
1193,7826,end_date,20070916
1194,7827,end_date,20070916
1195,7828,end_date,20070916
1196,7829,end_date,20070916
1197,7830,end_date,20070916
1198,7831,end_date,20070916
1199,7832,end_date,20070916
